legacy_id,external_code,title,rfi_type,prefix,cluster_id,position_type,variant,drug_type,old_thousand
N149,H0110,最后通牒博弈,fire,H,01,1,0,破局药,4001
N150,H0150,志愿者困境,fire,H,01,5,0,破局药,4002
N151,H0210,协调博弈,fire,H,02,1,0,破局药,4003
N152,H0250,鹿猎博弈,fire,H,02,5,0,破局药,4004
N153,H0310,鸡博弈,fire,H,03,1,0,破局药,4005
N154,H0350,胆小鬼博弈,fire,H,03,5,0,破局药,4006
N155,H0410,信号博弈,fire,H,04,1,0,破局药,4007
N156,H0450,廉价信号,fire,H,04,5,0,破局药,4008
N157,H0510,承诺装置,fire,H,05,1,0,破局药,4009
N158,H0550,可信威胁,fire,H,05,5,0,破局药,4010
N159,H0610,空威胁,fire,H,06,1,0,破局药,4011
N160,H0650,信息不对称,fire,H,06,5,0,破局药,4012
N161,H0710,逆向选择,fire,H,07,1,0,破局药,4013
N162,H0750,道德风险,fire,H,07,5,0,破局药,4014
N163,H0810,免费骑手,fire,H,08,1,0,破局药,4015
N164,H0850,搭便车策略,fire,H,08,5,0,破局药,4016
N165,H0910,逐轮报复,fire,H,09,1,0,破局药,4017
N166,H0950,信誉资本,fire,H,09,5,0,破局药,4018
N167,H1010,双重下注,fire,H,10,1,0,破局药,4019
N168,H1050,虚假联盟,fire,H,10,5,0,破局药,4020
N169,H1110,试探性背叛,fire,H,11,1,0,破局药,4021
N170,H1150,先发优势劫持,fire,H,11,5,0,破局药,4022
N171,H1210,谈判锚点污染,fire,H,12,1,0,破局药,4023
N172,H1250,让步螺旋,fire,H,12,5,0,破局药,4024
N173,H1310,双盲交易,fire,H,13,1,0,破局药,4025
N174,H1350,条件嵌套,fire,H,13,5,0,破局药,4026
N175,H1410,隐性契约,fire,H,14,1,0,破局药,4027
N176,H1450,拖延博弈,fire,H,14,5,0,破局药,4028
N177,H1510,退出威胁,fire,H,15,1,0,破局药,4029
N178,H1550,沉默竞价,fire,H,15,5,0,破局药,4030
N179,H1610,责任置换,fire,H,16,1,0,破局药,4031
N180,H1650,筹码伪装,fire,H,16,5,0,破局药,4032
N181,H1710,单边透明,fire,H,17,1,0,破局药,4033
N182,H1750,让利陷阱,fire,H,17,5,0,破局药,4034
N183,H1810,可逆交换,fire,H,18,1,0,破局药,4035
N184,H1850,锁定效应,fire,H,18,5,0,破局药,4036
N185,H1910,协作租值,fire,H,19,1,0,破局药,4037
N186,H1950,假性双赢,fire,H,19,5,0,破局药,4038
N187,H2010,风险转嫁合同,fire,H,20,1,0,破局药,4039
N188,H2050,多方博弈拥堵,fire,H,20,5,0,破局药,4040
N189,H2110,群体极化,fire,H,21,1,0,破局药,4041
N190,H2150,去个体化,fire,H,21,5,0,破局药,4042
N191,H2210,道德许可,fire,H,22,1,0,破局药,4043
N192,H2250,责任稀释,fire,H,22,5,0,破局药,4044
N193,H2310,替罪羊机制,fire,H,23,1,0,破局药,4045
N194,H2350,标签放大,fire,H,23,5,0,破局药,4046
N195,H2410,身份防御,fire,H,24,1,0,破局药,4047
N196,H2450,内外群体偏见,fire,H,24,5,0,破局药,4048
N197,H2510,从众压力,fire,H,25,1,0,破局药,4049
N198,H2550,领袖依附,fire,H,25,5,0,破局药,4050
N199,H2610,风险传染,fire,H,26,1,0,破局药,4051
N200,H2650,情绪共振,fire,H,26,5,0,破局药,4052
N201,H2710,道德恐慌,fire,H,27,1,0,破局药,4053
N202,H2750,替代性愤怒,fire,H,27,5,0,破局药,4054
N203,H2810,象征性团结,fire,H,28,1,0,破局药,4055
N204,H2850,羞耻规训,fire,H,28,5,0,破局药,4056
N205,H2910,公审效应,fire,H,29,1,0,破局药,4057
N206,H2950,围观正义,fire,H,29,5,0,破局药,4058
N207,H3010,群内神话,fire,H,30,1,0,破局药,4059
N208,H3050,道德外包,fire,H,30,5,0,破局药,4060
N209,H3110,情绪透支,fire,H,31,1,0,破局药,4061
N210,H3150,社会惰化,fire,H,31,5,0,破局药,4062
N211,H3210,集体失忆,fire,H,32,1,0,破局药,4063
N212,H3250,舆情绑架,fire,H,32,5,0,破局药,4064
N213,H3310,同温层领导,fire,H,33,1,0,破局药,4065
N214,H3350,次优团结,fire,H,33,5,0,破局药,4066
N215,H3410,场域污染,fire,H,34,1,0,破局药,4067
N216,H3450,情绪逃税,fire,H,34,5,0,破局药,4068
N217,H3510,仪式性参与,fire,H,35,1,0,破局药,4069
N218,H3550,沉没关系成本,fire,H,35,5,0,破局药,4070
N219,H3610,权力邻近效应,fire,H,36,1,0,破局药,4071
N220,H3650,第二意见缺失,fire,H,36,5,0,破局药,4072
N221,H3710,伪中立,fire,H,37,1,0,破局药,4073
N222,H3750,集体自尊防御,fire,H,37,5,0,破局药,4074
N223,H3810,焦虑接力,fire,H,38,1,0,破局药,4075
N224,H3850,热点虹吸,fire,H,38,5,0,破局药,4076
N225,H3910,传言真空,fire,H,39,1,0,破局药,4077
N226,H3950,人设保全,fire,H,39,5,0,破局药,4078
N227,H4010,可见性偏差,fire,H,40,1,0,破局药,4079
N228,H4050,同步失真,fire,H,40,5,0,破局药,4080
S049,H4110,电车难题,fire,H,41,1,0,辨权药,4081
S050,H4150,胖子变体,fire,H,41,5,0,固界药,4082
S051,H4210,定时炸弹,fire,H,42,1,0,辨权药,4083
S052,H4250,小提琴家,fire,H,42,5,0,固界药,4084
S053,H4310,浅池塘,fire,H,43,1,0,固界药,4085
S054,H4350,无知之幕,fire,H,43,5,0,辨权药,4086
S055,H4410,效用怪兽,fire,H,44,1,0,止损药,4087
S056,H4450,令人厌恶的结论,fire,H,44,5,0,止损药,4088
S057,H4510,布里丹之驴,fire,H,45,1,0,破局药,4089
S058,H4550,圣彼得堡悖论,fire,H,45,5,0,止损药,4090
S059,H4610,纽康悖论,fire,H,46,1,0,辨权药,4091
S060,H4650,1美元拍卖,fire,H,46,5,0,止损药,4092
S086,H4710,宽容悖论,fire,H,47,1,0,辨权药,4093
S087,H4750,破窗效应,fire,H,47,5,0,识局药,4094
S089,H4810,阿比林悖论,fire,H,48,1,0,破局药,4095
S090,H4850,群体迷思,fire,H,48,5,0,醒群药,4096
S091,H4910,沉默的螺旋,fire,H,49,1,0,醒群药,4097
S092,H4950,旁观者效应,fire,H,49,5,0,破局药,4098
S095,H5010,公地悲剧,fire,H,50,1,0,止损药,4099
S096,H5050,囚徒困境,fire,H,50,5,0,破局药,4100
S104,H5110,剧场效应,fire,H,51,1,0,辨权药,4101
N229,J0110,官僚惰性,metal,J,01,1,0,辨权药,1001
N230,J0150,流程崇拜,metal,J,01,5,0,辨权药,1002
N231,J0210,授权幻觉,metal,J,02,1,0,辨权药,1003
N232,J0250,责任黑洞,metal,J,02,5,0,辨权药,1004
N233,J0310,默认服从链,metal,J,03,1,0,辨权药,1005
N234,J0350,文件漂白,metal,J,03,5,0,辨权药,1006
N235,J0410,口头特批文化,metal,J,04,1,0,辨权药,1007
N236,J0450,影子权力,metal,J,04,5,0,辨权药,1008
N237,J0510,双轨制度,metal,J,05,1,0,辨权药,1009
N238,J0550,隐性考核,metal,J,05,5,0,辨权药,1010
